site_name,site_id,lat,long,prediction
"        Little Torch Key, Pine Channel Bridge, south side",8724224,24.665,-81.3867,Subordinate
"        Big Pine Key, Pine Channel Bridge, south side",8724213,24.6683,-81.3717,Subordinate
"        Big Pine Key, Pine Channel Bridge, north side",8724211,24.67,-81.3683,Subordinate
"        Big Pine Key, west side, Pine Channel",8724227,24.69,-81.3833,Subordinate
"        Howe Key, south end, Harbor Channel",8724243,24.725,-81.4067,Subordinate
"        Big Torch Key, Harbor Channel",8724274,24.7367,-81.4433,Subordinate
"        Water Keys, south end, Harbor Channel",8724273,24.7467,-81.45,Subordinate
"        Howe Key, northwest end",8724257,24.7583,-81.4283,Subordinate
"        Summerland Key, Niles Channel South",8724266,24.6517,-81.435,Subordinate
"        Summerland Key, Niles Channel Bridge",8724267,24.66,-81.4367,Subordinate
"        Ramrod Key, Niles Channel Bridge",8724255,24.66,-81.4233,Subordinate
"        Big Torch Key, Niles Channel",8724264,24.705,-81.4333,Subordinate
"        Knockemdown Key, north end",8724302,24.715,-81.4783,Subordinate
"        Raccoon Key, east side",8724311,24.7417,-81.4833,Subordinate
"        Content Keys, Content Passage",8724307,24.79,-81.4833,Subordinate
"        Key Lois, southeast end",8724293,24.6067,-81.47,Subordinate
"        Sugarloaf Key, east side, Tarpon Creek",8724327,24.6283,-81.51,Subordinate
"        Gopher Key, Cudjoe Bay",8724306,24.6417,-81.485,Subordinate
"        Sugarloaf Key, Pirates Cove",8724326,24.6533,-81.515,Subordinate
"        Cudjoe Key, Cudjoe Bay",8724313,24.66,-81.4917,Subordinate
"        Summerland Key, southwest side, Kemp Channel",8724276,24.65,-81.4467,Subordinate
        Kemp Channel Viaduct,8724292,24.6617,-81.4683,Subordinate
"        Cudjoe Key, north end, Kemp Channel",8724328,24.7,-81.505,Subordinate
"        Sugarloaf Key, northeast side, Bow Channel",8724347,24.6717,-81.5333,Subordinate
"        Cudjoe Key, Pirates Cove",8724332,24.6617,-81.515,Subordinate
"        Sugarloaf Key, north end, Bow Channel",8724368,24.6933,-81.555,Subordinate
"        Pumpkin Key, Bow Channel",8724373,24.7167,-81.5617,Subordinate
"        Sawyer Key, outside, Cudjoe Channel",8724370,24.7583,-81.5617,Subordinate
"        Sawyer Key, inside, Cudjoe Channel",8724369,24.7583,-81.5617,Subordinate
        Upper Sugarloaf Sound,,,,
            Perky,8724378,24.6483,-81.57,Subordinate
            Park Channel Bridge,8724353,24.655,-81.54,Subordinate
            North Harris Channel,8724367,24.6533,-81.5533,Subordinate
            Tarpon Creek,8724334,24.63,-81.5167,Subordinate
"        Johnston Key, southwest end, Turkey Basin",8724397,24.71,-81.5933,Subordinate
